name,time,activity,ax,ay,az,batch_val,gx,gy,gz,ibat,index,middle,pitch,roll,temp,thumb,ts,vbat,yaw
rg,1625081295783119094,1,0.1614,0.8997,0.5134,1,0.7324,11.5967,-12.146,54,1.0485,0.5373,8.6583,64.5146,28,0.6543,18748,3.916,25.5777
rg,1625081295783167353,1,0.1597,0.8899,0.5112,2,1.0376,10.3149,-10.8643,54,1.0485,0.5373,8.542,64.3966,28,0.6543,8196,3.916,25.7408
rg,1625081295783191297,1,0.1584,0.8882,0.5205,3,0.9766,9.6436,-9.4604,54,1.0485,0.5373,8.3721,64.2606,28,0.6543,7449,3.916,25.9007
rg,1625081295783211204,1,0.1621,0.8884,0.5161,4,0.9766,9.7046,-10.498,54,1.0485,0.5373,8.2322,64.1175,28,0.6543,7580,3.916,26.0435
rg,1625081295783289815,1,0.167,0.8945,0.5168,5,0.9766,8.4839,-10.1929,54,1.0485,0.5373,8.0644,63.9977,28,0.6543,7473,3.916,26.1504
rg,1625081295783315315,1,0.1687,0.8926,0.5171,6,1.0376,8.9722,-10.9863,54,1.0485,0.5373,7.8719,63.8818,28,0.6543,7507,3.916,26.2732
rg,1625081295783335630,1,0.166,0.8992,0.5178,7,0.9155,8.8501,-10.8032,54,1.0475,0.5373,7.7499,63.7714,28,0.6543,7498,3.916,26.3832
rg,1625081295783354463,1,0.1687,0.8987,0.5088,8,0.9766,7.5073,-10.437,54,1.0485,0.5373,7.5889,63.6786,28,0.6543,7692,3.916,26.4531
rg,1625081295783372741,1,0.1682,0.9006,0.5076,9,0.9155,6.8359,-9.7046,54,1.0485,0.5373,7.3974,63.5895,28,0.6543,7590,3.916,26.5123
rg,1625081295783392407,1,0.1746,0.9062,0.5137,10,1.0376,6.2866,-10.3149,54,1.0475,0.5373,7.2152,63.4992,28,0.6543,7561,3.916,26.5401
rg,1625081295783412018,1,0.1772,0.9048,0.502,11,0,6.4087,-11.3525,54,1.0485,0.5373,7.0436,63.4193,28,0.6543,7674,3.916,26.5625
rg,1625081295783431407,1,0.1743,0.9011,0.502,12,0.9766,7.3853,-11.6577,54,1.0485,0.5373,6.9392,63.3517,28,0.6543,7767,3.916,26.6082
rg,1625081295783449777,1,0.1763,0.9001,0.5034,13,-0.4883,5.9814,-10.498,54,1.0485,0.5373,6.7686,63.2207,28,0.6543,7667,3.916,26.6236
rg,1625081295783469240,1,0.1738,0.8911,0.4961,14,0.9766,6.5308,-10.9863,54,1.0485,0.5373,6.6328,63.1589,28,0.6543,7688,3.916,26.6501
rg,1625081295783486499,1,0.1721,0.8928,0.5012,15,-0.3662,5.8594,-10.7422,54,1.0485,0.5373,6.4864,63.0354,28,0.6543,7716,3.916,26.6561
rg,1625081295783505166,1,0.1768,0.8938,0.5042,16,-0.9155,6.1035,-11.4746,54,1.0485,0.5373,6.3239,62.8252,28,0.6543,7710,3.916,26.668
rg,1625081295783522129,1,0.1746,0.896,0.502,17,-2.5635,5.9814,-10.6812,54,1.0485,0.5373,6.1854,62.6294,28,0.6543,7704,3.916,26.6789
rg,1625081295783541369,1,0.1777,0.8906,0.5024,18,-2.0142,4.8218,-9.2163,54,1.0495,0.5373,5.9676,62.4547,28,0.6553,8023,3.916,26.6739
rg,1625081295783559999,1,0.384,0.5908,0.7542,19,9.6436,18.4326,-17.8223,173,1.0535,0.5423,5.8964,61.9859,28,0.6523,7936,3.8511,26.9132
rg,1625081295783577777,1,0.3816,0.603,0.7505,20,10.9253,19.9585,-16.6626,173,1.0535,0.5423,5.8236,61.6135,28,0.6523,8013,3.8511,27.2254
rg,1625081295783596110,1,0.3813,0.5999,0.749,21,11.9629,22.8271,-17.4561,173,1.0535,0.5433,5.8356,61.3004,28,0.6523,7955,3.8511,27.6197
rg,1625081295783614165,1,0.376,0.6003,0.7515,22,12.5122,24.353,-17.2119,173,1.0545,0.5423,5.8814,61.0213,28,0.6523,7856,3.8511,28.0672
rg,1625081295783631424,1,0.3564,0.6084,0.7534,23,14.8926,26.7944,-17.0288,173,1.0545,0.5433,6.0081,60.8604,28,0.6523,8732,3.8511,28.5997
rg,1625081295783648813,1,0.3533,0.6191,0.7559,24,16.0522,27.9541,-16.7847,173,1.0545,0.5423,6.1567,60.7694,28,0.6523,9433,3.8511,29.1748
rg,1625081295783689202,1,0.3452,0.6238,0.7632,25,17.7612,29.3579,-14.8926,173,1.0545,0.5433,6.2829,60.7552,28,0.6523,7994,3.8511,29.8324
rg,1625081295783709591,1,0.3406,0.6284,0.7646,26,18.7378,31.4331,-15.5029,173,1.0545,0.5433,6.4771,60.793,28,0.6523,7928,3.8511,30.5497
rg,1625081295783728368,1,0.3313,0.6392,0.77,27,19.8364,31.7993,-15.1978,173,1.0545,0.5433,6.684,60.8847,28,0.6533,8066,3.8511,31.2849
rg,1625081295783745516,1,0.3252,0.6426,0.7771,28,21.1182,32.4707,-15.8081,173,1.0545,0.5433,6.9329,61.023,28,0.6533,7988,3.8511,32.0302
rg,1625081295783762590,1,0.3164,0.6511,0.7732,29,21.8506,33.6914,-16.5405,173,1.0545,0.5443,7.2374,61.2093,28,0.6533,8136,3.8511,32.8058
rg,1625081295783779868,1,0.3062,0.6545,0.7708,30,22.4609,32.8369,-14.9536,173,1.0545,0.5433,7.476,61.4237,28,0.6543,8053,3.8511,33.5819
rg,1625081295783798350,1,0.2996,0.6584,0.7881,31,22.3999,33.2642,-15.3809,173,1.0555,0.5433,7.7489,61.614,28,0.6533,8159,3.8511,34.363
rg,1625081295783816090,1,0.29,0.6677,0.7798,32,22.583,33.3252,-15.3198,173,1.0545,0.5443,8.0252,61.8324,28,0.6543,8120,3.8511,35.1502
rg,1625081296127482207,1,0.2737,0.6826,0.7839,33,20.1416,29.7852,-12.4512,173,1.0555,0.5453,8.1591,61.9519,28,0.6553,24804,3.8511,35.8668
rg,1625081296127520095,1,0.2717,0.688,0.7827,34,18.9209,28.6255,-12.146,173,1.0555,0.5453,8.2513,62.0283,28,0.6553,10080,3.8511,36.5494
rg,1625081296127540577,1,0.2761,0.6829,0.7817,35,15.7471,27.6489,-12.8784,173,1.0565,0.5453,8.3684,61.9164,28,0.6553,10235,3.8511,37.1737
rg,1625081296127559706,1,0.2612,0.6819,0.7825,36,14.0991,26.6724,-12.146,173,1.0565,0.5453,8.445,61.7788,28,0.6553,7395,3.8511,37.7812
rg,1625081296127578947,1,0.2402,0.6824,0.7747,37,12.8174,26.4282,-12.9395,173,1.0565,0.5463,8.5813,61.6,28,0.6553,7510,3.8511,38.3634
rg,1625081296127596558,1,0.2412,0.6838,0.7778,38,12.3291,24.4751,-12.7563,173,1.0565,0.5463,8.6711,61.397,28,0.6563,7431,3.8511,38.8755
rg,1625081296127614187,1,0.2249,0.6699,0.7842,39,10.0708,23.8647,-14.0381,173,1.0565,0.5463,8.825,61.0726,28,0.6563,7542,3.8511,39.3327
rg,1625081296127685113,1,0.2109,0.6687,0.78,40,9.6436,22.522,-13.0615,173,1.0565,0.5463,8.9422,60.7228,28,0.6553,8680,3.8511,39.705
rg,1625081296127706761,1,0.2151,0.6719,0.7739,41,8.9722,18.4937,-13.4888,173,1.0575,0.5463,8.9839,60.3669,28,0.6553,8724,3.8511,39.9746
rg,1625081296127725242,1,0.217,0.6721,0.7778,42,7.8125,15.7471,-13.2446,173,1.0565,0.5463,8.961,59.9582,28,0.6563,9515,3.8511,40.148
rg,1625081296127741928,1,0.219,0.6807,0.7759,43,7.0801,12.5732,-14.2212,173,1.0565,0.5463,8.9073,59.5301,28,0.6563,7620,3.8511,40.19
rg,1625081296127758779,1,0.2312,0.6843,0.7761,44,6.3477,11.7188,-13.4277,173,1.0565,0.5463,8.7882,59.0929,28,0.6563,7627,3.8511,40.2173
rg,1625081296127775261,1,0.2488,0.6843,0.7759,45,4.4556,9.9487,-12.9395,173,1.0565,0.5463,8.5862,58.5908,28,0.6563,7889,3.8511,40.1926
rg,1625081296127792557,1,0.2512,0.6846,0.772,46,3.7231,9.2773,-14.2212,173,1.0565,0.5463,8.4145,58.0761,28,0.6563,7628,3.8511,40.1181
rg,1625081296127812223,1,0.2532,0.6804,0.7673,47,2.0752,9.5215,-14.9536,173,1.0565,0.5463,8.2714,57.5138,28,0.6563,7679,3.8511,40.035
rg,1625081296127830390,1,0.262,0.6792,0.7615,48,1.8921,8.5449,-15.1978,173,1.0565,0.5473,8.0999,56.9666,28,0.6563,7635,3.8511,39.9123
rg,1625081296127847242,1,0.2629,0.6792,0.7595,49,1.0376,8.728,-14.4043,173,1.0565,0.5463,7.9018,56.4108,28,0.6563,7751,3.8511,39.8117
rg,1625081296127863112,1,0.2749,0.6799,0.759,50,0.9766,8.8501,-14.6484,173,1.0565,0.5473,7.7039,55.8771,28,0.6563,7656,3.8511,39.7088
rg,1625081296127878927,1,0.2788,0.675,0.7522,51,1.0376,9.0942,-14.1602,173,1.0565,0.5473,7.4895,55.3707,28,0.6573,7772,3.8511,39.6237
rg,1625081296127896260,1,0.28,0.6714,0.7549,52,0.9155,9.8877,-14.1602,173,1.0565,0.5473,7.2978,54.8721,28,0.6563,7647,3.8511,39.5622
rg,1625081296127911982,1,0.2708,0.6592,0.7534,53,0.9766,11.1694,-14.6484,173,1.0575,0.5473,7.1167,54.3813,28,0.6563,7854,3.8511,39.5211
rg,1625081296127929334,1,0.2744,0.655,0.7605,54,0.9766,10.498,-13.0615,173,1.0575,0.5473,6.9243,53.8923,28,0.6573,7821,3.8511,39.4971
rg,1625081296127962223,1,0.2805,0.6548,0.7568,55,0.9766,10.0708,-13.0615,173,1.0575,0.5473,6.7149,53.4251,28,0.6573,7791,3.8511,39.4581
rg,1625081296127979297,1,0.2751,0.6477,0.7634,56,1.0376,10.3149,-13.3667,173,1.0575,0.5473,6.5309,52.9617,28,0.6573,7781,3.8511,39.447
rg,1625081296127995611,1,0.2812,0.6516,0.7625,57,0.9766,10.498,-13.4888,173,1.0575,0.5473,6.3588,52.5159,28,0.6573,7804,3.8511,39.4064
rg,1625081296128012537,1,0.2808,0.6587,0.7581,58,0.9766,11.4746,-13.5498,173,1.0585,0.5473,6.2196,52.1073,28,0.6573,8084,3.8511,39.3953
rg,1625081296128029204,1,0.2876,0.6526,0.7549,59,0.9155,11.5356,-14.1602,173,1.0575,0.5473,6.0893,51.7053,28,0.6573,9076,3.8511,39.3683
