name,time,activity,ax,ay,az,batch_val,gx,gy,gz,ibat,index,middle,pitch,roll,temp,thumb,ts,vbat,yaw
lg,1625081277720150380,0,0.6223,-0.1577,0.8188,1,-21.4844,-10.5591,-41.687,69,1.3036,1.0405,-48.1164,-3.8504,27,0.011,19304,3.7004,-182.0461
lg,1625081277720271693,0,0.6531,-0.1326,0.7676,2,-19.9585,-11.1084,-38.6353,69,1.3036,1.0405,-48.3252,-3.2162,27,0.01,8499,3.7004,-184.1239
lg,1625081277720323470,0,0.6995,-0.134,0.7737,3,-18.6157,-10.376,-37.2314,69,1.3036,1.0405,-48.5457,-2.5945,27,0.011,8487,3.7004,-186.1193
lg,1625081277720372932,0,0.7212,-0.1455,0.7717,4,-17.6392,-10.1318,-37.0483,69,1.3036,1.0405,-48.7699,-1.9849,27,0.011,7935,3.7004,-188.0743
lg,1625081277720421005,0,0.2161,-0.467,0.4705,5,39.1235,-67.4438,-56.6406,106,1.3176,1.0285,-50.7704,-0.0916,27,0.014,14683,3.6355,170.2283
lg,1625081277720468856,0,0.1907,-0.3752,0.6672,6,20.1416,-47.7905,-35.9497,106,1.3186,1.0295,-51.518,0.7839,27,0.011,8182,3.6355,169.2666
lg,1625081277720517004,0,0.3372,-0.1772,0.3984,7,21.3013,-48.645,-20.9351,106,1.3196,1.0315,-53.0078,1.5296,27,0.012,7945,3.6355,168.8078
lg,1625081277720563633,0,0.5688,-0.3677,0.7239,8,-12.3291,-13.855,22.7661,106,1.3206,1.0325,-53.0041,-1.6316,27,0.014,7961,3.6355,171.4985
lg,1625081277720631002,0,0.6653,-0.6953,0.8716,9,-14.7095,19.6533,29.48,106,1.3216,1.0345,-51.5662,-5.5743,27,0.014,8023,3.6355,-185.1311
lg,1625081277720790536,0,0.5295,-0.6365,0.876,10,-6.4087,35.7666,25.2686,106,1.3236,1.0365,-48.9556,-7.7337,27,0.012,8412,3.6355,-183.1401
lg,1625081277720885405,0,0.4707,-0.6309,0.8716,11,6.4087,45.2881,11.7188,106,1.3246,1.0385,-46.3053,-9.1421,27,0.013,8027,3.6355,-181.7518
lg,1625081277720935367,0,0.4336,-0.6729,0.8955,12,15.5029,42.5415,5.4321,106,1.3256,1.0395,-43.8021,-9.8485,27,0.017,8314,3.6355,-180.8358
lg,1625081277720982959,0,0.2329,-0.7273,0.8494,13,38.269,50.4761,-5.9204,106,1.3276,1.0405,-40.872,-9.3436,27,0.017,8119,3.6355,-180.5311
lg,1625081277721028384,0,0.0229,-0.6726,0.8276,14,49.9878,45.8374,-13.7939,106,1.3296,1.0375,-38.7531,-8.0837,27,0.015,8079,3.6355,-180.4924
lg,1625081277721074513,0,0.01,-0.5706,0.7441,15,47.3633,-5.7373,-12.6953,106,1.3306,1.0285,-37.8278,-7.2499,27,0.015,8759,3.6355,-180.1865
lg,1625081277721120494,0,0.167,-0.6062,0.7834,16,36.5601,-43.396,0.5493,106,1.3317,1.0205,-38.6454,-7.4282,27,0.015,8202,3.6355,-178.9818
lg,1625081277721164067,0,0.5339,-0.6118,0.7974,17,24.4141,-63.9038,13.916,106,1.3317,1.0155,-40.8179,-8.5129,27,0.015,8211,3.6355,-176.9794
lg,1625081277721208900,0,0.6904,-0.5217,0.814,18,18.7988,-55.542,15.7471,106,1.3317,1.0105,-42.7796,-9.6458,27,0.013,8228,3.6355,-175.0029
lg,1625081277721253325,0,0.823,-0.4609,0.7966,19,-1.9531,-18.9819,9.0942,106,1.3317,1.0095,-43.4732,-10.9929,27,0.013,8267,3.6355,-173.7702
lg,1625081277721296009,0,0.6675,-0.5549,0.8096,20,-15.8081,29.7852,1.77,106,1.3317,1.0155,-42.0236,-12.4728,27,0.016,8297,3.6355,-173.3079
lg,1625081277721339731,0,0.2708,-0.6091,0.7979,21,-22.0337,45.3491,-2.0142,106,1.3317,1.0255,-39.2833,-14.2664,27,0.018,8280,3.6355,-173.2561
lg,1625081277721382675,0,0.1768,-0.6357,0.7454,22,-31.6162,38.9404,-3.2959,106,1.3317,1.0355,-36.8507,-16.338,27,0.017,8337,3.6355,-173.167
lg,1625081277721426507,0,0.04,-0.72,0.7485,23,-34.729,2.6855,-9.2163,106,1.3306,1.0415,-35.705,-18.7201,27,0.014,8319,3.6355,-172.8869
lg,1625081277721490599,0,0.0742,-0.9465,0.8787,24,-33.7524,-36.438,-10.9863,106,1.3317,1.0395,-36.1397,-21.4364,27,0.015,8403,3.6355,-172.0251
lg,1625081277721534320,0,0.0359,-0.845,0.8291,25,9.2163,-59.082,-35.5225,106,1.3296,1.0385,-37.9604,-21.742,27,0.013,8412,3.6355,-171.9841
lg,1625081277721578931,0,0.1074,-0.3022,0.5835,26,31.8604,-80.7495,-49.0112,106,1.3306,1.0395,-40.5711,-20.2109,27,0.013,8435,3.6355,-172.6568
lg,1625081277721623930,0,0.4272,-0.1396,0.4758,27,19.3481,-70.8618,-11.4746,106,1.3306,1.0395,-43.3711,-19.7619,27,0.015,8475,3.6355,-172.0331
lg,1625081277721667374,0,0.604,-0.4749,0.7864,28,-10.8643,-39.6729,17.2119,106,1.3317,1.0415,-44.2136,-21.8598,27,0.012,8430,3.6355,-170.0072
lg,1625081277721749502,0,0.6577,-0.5657,0.7983,29,-11.1694,-19.4702,26.123,106,1.3317,1.0425,-44.0965,-24.0692,27,0.012,8533,3.6355,-167.867
lg,1625081277721997813,0,0.6331,-0.5032,0.8088,30,-6.0425,14.0991,28.9307,106,1.3327,1.0445,-42.5147,-25.4509,27,0.012,10099,3.6355,-166.5868
lg,1625081277722058052,0,0.7029,-0.6262,0.8926,31,-0.9766,28.4424,24.6582,106,1.3327,1.0465,-40.6923,-26.2531,27,0.016,9041,3.6355,-165.7844
lg,1625081277722112255,0,0.5635,-0.7188,0.9412,32,10.6812,65.6738,14.1602,106,1.3337,1.0485,-37.5197,-25.806,27,0.015,8535,3.6355,-166.2891
lg,1625081278099031299,0,-0.1394,-0.6089,0.8022,33,48.4009,1.3428,-12.0239,106,1.3357,1.0385,-36.0857,-24.1009,27,0.015,24926,3.6355,-166.494
lg,1625081278099126909,0,0.1812,-0.6111,0.7993,34,39.978,-56.3965,-0.7324,106,1.3367,1.0275,-37.1852,-23.806,27,0.017,9011,3.6355,-164.9988
lg,1625081278099181111,0,0.5918,-0.489,0.7759,35,23.9868,-81.0547,9.8877,106,1.3377,1.0225,-39.7914,-24.5435,27,0.018,13132,3.6355,-162.6194
lg,1625081278099230888,0,1.0781,-0.5142,0.8613,36,-5.0659,-46.0815,10.5591,106,1.3377,1.0235,-41.5475,-25.9695,26,0.018,8562,3.6355,-160.9278
lg,1625081278099280628,0,0.6914,-0.6533,0.9429,37,-6.3477,51.0254,0.061,106,1.3367,1.0295,-39.3157,-25.8436,26,0.02,9590,3.6355,-161.8484
lg,1625081278099331091,0,0.1218,-0.6221,0.7664,38,-12.3901,65.3687,-15.0146,106,1.3377,1.0385,-36.0576,-25.6847,26,0.019,7980,3.6355,-163.5616
lg,1625081278099378997,0,0.0242,-0.6553,0.7922,39,-29.9072,11.7188,-9.5215,106,1.3377,1.0455,-34.5466,-27.1379,27,0.018,7972,3.6355,-163.8618
lg,1625081278099424552,0,0.062,-0.6697,0.7812,40,-34.0576,-13.4277,-8.4839,106,1.3347,1.0465,-34.0291,-29.0824,27,0.011,8194,3.6355,-163.5774
lg,1625081278099469125,0,0.2314,-0.854,0.8689,41,-37.5366,-38.8184,-1.2207,106,1.3327,1.0415,-34.5185,-31.7822,27,0.013,9013,3.6355,-162.295
lg,1625081278099511810,0,-0.0298,-0.3291,0.407,42,48.3398,-50.293,-65.4297,106,1.3306,1.0405,-36.1862,-29.3424,27,0.017,8704,3.6355,-163.566
lg,1625081278099557291,0,0.0217,-0.2424,0.5342,43,27.0386,-75.3174,-31.6162,106,1.3306,1.0405,-38.1448,-28.2823,26,0.017,8024,3.6355,-163.2602
lg,1625081278099599623,0,0.3364,-0.165,0.5212,44,15.5029,-95.8252,-6.5308,106,1.3317,1.0405,-41.3706,-28.515,26,0.017,8105,3.6355,-161.4722
lg,1625081278099642382,0,0.7996,-0.5059,0.7793,45,-14.7705,-69.519,17.2119,106,1.3317,1.0415,-43.3885,-31.085,26,0.017,8084,3.6355,-158.6655
lg,1625081278099686196,0,0.71,-0.5276,0.7891,46,-5.0659,4.0894,20.1416,106,1.3327,1.0425,-42.5594,-31.9523,26,0.016,8071,3.6355,-157.7726
lg,1625081278099729862,0,0.5679,-0.5195,0.8086,47,-2.9907,30.9448,19.2871,106,1.3337,1.0435,-40.6284,-32.0933,27,0.017,10814,3.6355,-157.7643
lg,1625081278099780639,0,0.6208,-0.6089,0.8667,48,-1.0376,41.748,16.8457,106,1.3347,1.0455,-38.4548,-31.9969,27,0.017,8725,3.6355,-158.0977
lg,1625081278099828509,0,0.5737,-0.645,0.897,49,3.0518,58.6548,15.5029,106,1.3347,1.0465,-35.7082,-31.4953,27,0.018,8185,3.6355,-158.8927
lg,1625081278099877730,0,0.2432,-0.7493,0.9165,50,18.9209,78.0029,6.1646,106,1.3357,1.0485,-32.0008,-30.1694,27,0.017,8220,3.6355,-160.3501
lg,1625081278099922526,0,-0.1125,-0.7417,0.8569,51,48.0957,45.2881,-12.3901,106,1.3377,1.0505,-29.3005,-27.97,27,0.018,8225,3.6355,-161.5913
lg,1625081278099969321,0,-0.1106,-0.677,0.8408,52,49.3774,7.5684,-14.0381,106,1.3387,1.0515,-29.3475,-26.956,27,0.018,8230,3.6355,-161.028
lg,1625081278100017747,0,0.2083,-0.6851,0.8474,53,37.5977,-47.4854,0.3052,106,1.3397,1.0505,-30.3261,-26.483,27,0.02,8220,3.6355,-159.7615
lg,1625081278100066024,0,0.5586,-0.5625,0.7773,54,27.5879,-61.8286,13.2446,106,1.3387,1.0485,-32.2882,-26.7137,27,0.019,8242,3.6355,-157.7176
lg,1625081278100111449,0,0.9524,-0.3872,0.7327,55,2.0142,-42.8467,14.4043,106,1.3397,1.0485,-34.1844,-27.5128,27,0.018,8331,3.6355,-156.1461
lg,1625081278100163707,0,0.9622,-0.5032,0.8555,56,-7.2021,-12.4512,7.2632,106,1.3397,1.0515,-34.8689,-28.2323,27,0.02,8365,3.6355,-155.4945
lg,1625081278100210188,0,0.5623,-0.635,0.8047,57,-12.9395,55.542,-7.2021,106,1.3397,1.0555,-32.8261,-28.2809,27,0.019,8345,3.6355,-156.8362
lg,1625081278100258021,0,-0.0378,-0.5742,0.72,58,-20.4468,69.6411,-16.9678,106,1.3397,1.0585,-29.4166,-28.4015,27,0.019,8362,3.6355,-158.8298
lg,1625081278100306187,0,-0.1631,-0.6445,0.7449,59,-31.4331,41.3818,-10.8643,106,1.3387,1.0565,-28.2426,-30.6002,27,0.016,8438,3.6355,-158.731
lg,1625081278100363408,0,0.1672,-1.0923,1.0938,60,-50.6592,-43.8843,-1.5259,106,1.3337,1.0485,-29.921,-32.9793,27,0.013,10071,3.6355,-157.3166
lg,1625081278100416203,0,0.124,-0.6216,0.5417,61,23.3154,-76.1719,-48.0347,106,1.3317,1.0465,-32.6402,-32.3825,27,0.017,9021,3.6355,-157.111
lg,1625081278100461443,0,0.1357,-0.1992,0.5803,62,23.0713,-78.7354,-39.978,106,1.3306,1.0465,-35.3832,-31.038,27,0.018,8542,3.6355,-157.0771
lg,1625081278100503998,0,0.4595,-0.0867,0.5635,63,-1.77,-68.2373,2.1973,106,1.3306,1.0465,-37.8638,-31.372,27,0.018,8584,3.6355,-155.7059
lg,1625081278100548738,0,0.6309,-0.6614,0.8594,64,-24.7803,-41.687,22.522,106,1.3306,1.0465,-38.465,-33.9198,27,0.018,8563,3.6355,-153.4375
