name,time,activity,ax,ay,az,batch_val,gx,gy,gz,ibat,index,middle,pitch,roll,temp,thumb,ts,vbat,yaw
lg,1625051475109975371,0,-0.1118,-0.0959,1.0576,1,-0.1831,0.3052,11.4136,73,1.5548,1.5468,5.1648,-2.7253,35,0.2451,20573,3.9875,-122.8706
lg,1625051475110021556,0,-0.1333,-0.0823,1.0684,2,-1.0986,1.6479,12.5122,73,1.5538,1.5428,5.3294,-2.789,35,0.2451,8536,3.9875,-122.3778
lg,1625051475110041556,0,-0.1304,-0.0891,1.0547,3,-1.8311,2.3193,14.3433,73,1.5538,1.5458,5.5159,-2.8878,35,0.2461,8676,3.9875,-121.8143
lg,1625051475110060315,0,-0.1553,-0.0942,1.0464,4,-2.1362,2.9297,15.0757,73,1.5538,1.5478,5.7766,-3.0021,35,0.2461,8261,3.9875,-121.2239
lg,1625051475110078833,0,-0.1426,-0.1155,1.0654,5,-1.77,-0.5493,10.8032,73,1.5538,1.5478,5.7561,-3.1285,35,0.2461,33701,3.9875,-120.696
lg,1625051475110098908,0,-0.137,-0.1125,1.072,6,0.6714,-4.9438,13.2446,73,1.5538,1.5458,5.6459,-3.1601,35,0.2461,7961,3.9875,-120.1648
lg,1625051475110117463,0,-0.1055,-0.0869,1.0537,7,1.8311,-2.7466,12.6343,73,1.5538,1.5478,5.5648,-3.0977,35,0.2451,8250,3.9875,-119.6577
lg,1625051475110135278,0,-0.0742,-0.0876,1.0552,8,1.4038,0.1221,13.3667,73,1.5538,1.5468,5.6893,-3.1266,35,0.2461,7955,3.9875,-119.1265
lg,1625051475110152593,0,-0.103,-0.0906,1.0718,9,-2.0142,8.9111,15.0757,73,1.5538,1.5458,6.0672,-3.2136,35,0.2451,8293,3.9875,-118.5477
lg,1625051475110169982,0,-0.113,-0.0906,1.0742,10,-4.4556,17.8833,13.7329,73,1.5548,1.5488,6.8058,-3.3968,35,0.2461,8760,3.9875,-118.0442
lg,1625051475110188371,0,-0.1843,-0.1133,1.0703,11,-4.2725,20.752,14.2212,73,1.5538,1.5478,7.7799,-3.6041,35,0.2461,8351,3.9875,-117.5356
lg,1625051475110206796,0,-0.1953,-0.1042,1.0627,12,-4.0894,20.0806,14.1602,73,1.5548,1.5478,8.7113,-3.7845,35,0.2461,8388,3.9875,-117.0296
lg,1625051475110224741,0,-0.2136,-0.0923,1.0667,13,-3.6011,14.0991,14.8926,73,1.5538,1.5478,9.4114,-3.8839,35,0.2461,8841,3.9875,-116.4729
