name,time,activity,ax,ay,az,batch_val,gx,gy,gz,ibat,index,middle,pitch,roll,temp,thumb,ts,vbat,yaw
lg,1625569128173862229,0,-0.1831,-0.2905,1.0117,1,-6.7749,-61.5234,9.3384,70,1.5498,1.5938,19.2585,-17.2907,30,0.2671,20804,3.982,-154.0241
lg,1625569128173907210,0,-0.0923,-0.2993,1.0225,2,-5.6763,-73.7915,10.8643,70,1.5498,1.5938,15.8829,-17.0381,30,0.2671,8452,3.982,-152.6504
lg,1625569128173928599,0,0.0623,-0.2734,1.0442,3,-2.8687,-79.1016,12.6953,70,1.5498,1.5948,12.2663,-16.7002,30,0.2671,8968,3.982,-151.1754
lg,1625569128173948266,0,0.1865,-0.2964,1.0168,4,-0.061,-55.481,8.4839,70,1.5498,1.5938,9.3829,-16.4974,30,0.2671,8557,3.982,-150.1947
lg,1625569128173967506,0,0.2458,-0.2971,0.9934,5,0,-33.9355,7.3242,70,1.5488,1.5948,8.1997,-16.4604,30,0.2671,7814,3.982,-149.9883
lg,1625569128173987081,0,0.2449,-0.2896,0.9751,6,-0.5493,16.9067,-1.4038,70,1.5498,1.5938,7.9878,-16.5161,30,0.2681,8911,3.982,-150.2374
lg,1625569128174006118,0,0.1895,-0.2791,0.9414,7,-1.2817,64.7583,-6.5918,70,1.5498,1.5938,9.6491,-16.7168,30,0.2681,9550,3.982,-151.2438
lg,1625569128174023969,0,-0.3706,-0.3625,0.8857,8,0.1831,-83.9233,62.1338,108,1.4667,1.5658,7.6039,-16.4048,30,0.2601,14098,3.9215,-147.8978
lg,1625569128174041636,0,-0.1406,-0.625,0.9692,9,-20.9961,-98.8159,58.8379,108,1.4657,1.5668,4.5082,-17.5158,30,0.2611,9176,3.9215,-144.5585
lg,1625569128174059821,0,0.0117,-0.7393,1.0076,10,-16.0522,-84.8389,55.7251,108,1.4657,1.5668,1.7967,-18.7057,30,0.2631,7944,3.9215,-141.4351
lg,1625569128174078321,0,0.1729,-0.6689,0.8848,11,3.2349,-27.3438,28.4424,108,1.4657,1.5678,0.7198,-19.248,30,0.2651,8857,3.9215,-140.0234
lg,1625569128174096395,0,-0.0525,-0.6111,0.8127,12,10.0098,83.8013,5.3711,108,1.4727,1.5688,4.0294,-19.5702,30,0.2681,9264,3.9215,-140.9475
lg,1625569128174114136,0,-0.3389,-0.6133,0.9087,13,19.7144,140.3809,-15.5029,108,1.4797,1.5668,9.6064,-19.618,30,0.2671,10227,3.9215,-143.4729
lg,1625569128174132155,0,-0.4485,-0.6226,0.7815,14,27.3438,131.5918,-33.5083,108,1.4827,1.5668,14.6719,-19.8634,30,0.2641,8671,3.9215,-146.6993
lg,1625569128174149655,0,-0.5837,-0.5566,0.6069,15,25.6958,121.0938,-37.4756,108,1.4847,1.5638,18.7669,-20.6189,30,0.2621,9009,3.9215,-149.8056
lg,1625569128174167062,0,-0.6653,-0.5149,0.5911,16,11.7798,82.8857,-24.1089,108,1.4857,1.5618,22.3602,-21.5775,31,0.2631,8864,3.9215,-152.2594
lg,1625569128174184358,0,-0.6545,-0.5596,0.7732,17,-11.5356,51.6968,27.2217,108,1.4847,1.5618,25.1651,-22.4353,31,0.2691,8748,3.9215,-152.2019
lg,1625569128174201840,0,-0.7817,-0.5566,0.894,18,-23.0713,17.8833,38.0249,108,1.4887,1.5638,26.8615,-23.1339,31,0.2731,8471,3.9215,-151.0941
